DateTime,TillAccount,SafeInOut,Amount,Balance,Difference,Status
14/11/2023 11:27,Till 1,Lekki 1,"1,000","3,481,862",,Approved
18/08/2022 08:34,GTB Collection Account,Lekki 1,"200,000","3,482,862",,Approved
03/05/2022 08:30,Till 1,Lekki 1,"1,000","3,682,862",,Approved
27/04/2022 15:22,Till 1,Lekki 1,"1,000","3,683,862",,Approved
27/04/2022 15:22,Till 1,Lekki 1,"10,000","3,684,862",,Approved
27/04/2022 15:14,Till 1,Lekki 1,"1,000","3,694,862",,Approved
27/04/2022 15:12,Till 1,Lekki 1,"10,000","3,693,862",,Approved
26/04/2022 12:40,Till 1,Lekki 1,"303,000","3,703,862",,Approved
26/04/2022 12:39,Till 1,Lekki 1,"20,000","3,400,862",,Discarded
26/04/2022 12:32,Till 1,Lekki 1,"1,000","3,400,862",,Approved
26/04/2022 12:31,Till 1,Lekki 1,"2,000","3,401,862",,Approved
26/04/2022 12:31,Till 1,Lekki 1,"200,000","3,403,862",,Approved
26/04/2022 12:19,Till 1,Lekki 1,"100,000","3,603,862",,Approved
26/04/2022 12:10,Till 1,Lekki 1,"11,000","3,703,862",,Approved
26/04/2022 12:09,Till 1,Lekki 1,"11,000","3,714,862",,Discarded
26/04/2022 11:49,Till 1,Lekki 1,"5,699,862","3,714,862",,Approved
26/04/2022 11:48,Till 1,Lekki 1,"11,000","-1,985,000",,Approved
26/04/2022 11:47,Till 1,Lekki 1,"10,000","-1,996,000",,Denied
26/04/2022 11:38,Till 1,Lekki 1,"1,000,000","-1,996,000",,Approved
26/04/2022 11:04,Till 1,Lekki 1,"1,000,000","-996,000",,Approved
13/12/2021 19:14,Till 1,Lekki 1,"10,000","4,000",,Approved
13/12/2021 19:12,Till 1,Lekki 1,"10,000","14,000",,Approved
11/02/2021 11:38,GTB Collection Account,Lekki 1,"10,725","4,000",,Approved
11/02/2021 11:34,Till 1,Lekki 1,"1,100","14,725",,Discarded
11/02/2021 11:25,Till 1,Lekki 1,"14,725","14,725",,Approved
11/02/2021 10:56,GTB Collection Account,Lekki 1,"13,825",0,,Approved
11/02/2021 10:55,,,"13,825","13,825",0,
11/02/2021 10:45,,,0,"13,825","-13,825",
11/02/2021 10:29,Till 1,Lekki 1,100,"13,825",,Approved
11/02/2021 10:27,Till 1,Lekki 1,"7,725","13,725",,Approved
09/02/2021 12:21,,,"6,000","6,000",0,
09/02/2021 12:21,,,"2,000","6,000","-4,000",
09/02/2021 11:12,,,"4,000","6,000","-2,000",
09/02/2021 11:11,,,"1,000","6,000","-5,000",
09/02/2021 10:17,Till 1,Lekki 1,"6,000","6,000",,Approved
09/10/2020 10:58,FCMB Collection ,Lekki 1,"10,000",0,,Awaiting Review
