Order,Location,SaleChannel,Items,Total,Status,Queued,Pending,Preparing,Completion,DeliveryStatus,Payment
H-0004,RoadChef Lekki,POS,1,200.00,Not Started,01/10/2024 07:46 by Ike,0:0:1:5:48:52,,,,Unpaid
H-0003,RoadChef Lekki,POS,1,3500.00,Not Started,01/10/2024 06:12 by Ike,0:0:1:7:23:16,,,,Unpaid
H-0009,RoadChef Lekki,POS,1,30500.00,Not Started,30/09/2024 19:42 by Ike,0:0:1:17:53:30,,,,Unpaid
H-0009,RoadChef Lekki,POS,1,10500.00,Not Started,30/09/2024 19:40 by Ike,0:0:1:17:55:8,,,,Unpaid
H-0002,RoadChef Lekki,POS,1,13500.00,Not Started,30/09/2024 10:53 by Ike,0:0:2:2:42:17,,,,Unpaid
H-0004,RoadChef Lekki,POS,1,3500.00,Not Started,29/09/2024 11:33 by Ike,0:0:3:2:2:3,,,,Unpaid
H-0003,RoadChef Lekki,POS,1,3500.00,Not Started,29/09/2024 11:32 by Ike,0:0:3:2:3:10,,,,Unpaid
007-0003,RoadChef Lekki,POS,1,0.00,Not Started,28/09/2024 11:59 by Qbicles Support Administrator,0:0:4:1:36:10,,,,Unpaid
007-0002,RoadChef Lekki,POS,1,0.00,Not Started,28/09/2024 11:56 by Qbicles Support Administrator,0:0:4:1:39:36,,,,Unpaid
007-0001,RoadChef Lekki,POS,1,0.00,Not Started,28/09/2024 11:54 by Hammed Sanni,0:0:4:1:40:54,,,,Unpaid
CS-0001,RoadChef Lekki,POS,1,82500.00,Not Started,28/09/2024 11:49 by Hammed Sanni,0:0:4:1:45:50,,,,Unpaid
10-0004,RoadChef Lekki,POS,1,3500.00,Not Started,27/09/2024 16:21 by Qbicles Support Administrator,0:0:4:21:14:20,,,,Paid in full
100-0002,RoadChef Lekki,POS,1,9000.00,Not Started,27/09/2024 11:04 by Hammed Sanni,0:0:5:2:31:36,,,,Unpaid
100-0001,RoadChef Lekki,POS,1,21500.00,Not Started,27/09/2024 11:03 by Hammed Sanni,0:0:5:2:32:32,,,,Unpaid
100-0001,RoadChef Lekki,POS,1,17000.00,Not Started,27/09/2024 11:02 by Hammed Sanni,0:0:5:2:32:49,,,,Unpaid
100-0004,RoadChef Lekki,POS,2,0.00,Preparing,26/09/2024 09:43 by Hammed Sanni,1d 1h 24m 12s &nbsp; ,"<span class=""timer-order"">0:0:5:2:27:43</span>",,,Unpaid
100-0003,RoadChef Lekki,POS,1,8000.00,Not Started,26/09/2024 09:43 by Qbicles Support Administrator,0:0:6:3:52:11,,,,Unpaid
100-0003,RoadChef Lekki,POS,2,4000.00,Not Started,26/09/2024 09:42 by Hammed Sanni,0:0:6:3:52:54,,,,Unpaid
100-0002,RoadChef Lekki,POS,1,3500.00,Not Started,26/09/2024 09:39 by Hammed Sanni,0:0:6:3:56:20,,,,Unpaid
100-0001,RoadChef Lekki,POS,1,4000.00,Not Started,26/09/2024 09:39 by Hammed Sanni,0:0:6:3:56:21,,,,Unpaid
100-0001,RoadChef Lekki,POS,1,0.00,Not Started,26/09/2024 09:27 by Hammed Sanni,0:0:6:4:8:31,,,,Unpaid
100-0001,RoadChef Lekki,POS,1,0.00,Not Started,26/09/2024 09:27 by Hammed Sanni,0:0:6:4:8:33,,,,Unpaid
