DateTime,Device,Till,Safe,TillInOut,Amount,Balance,Difference,Status
27/09/2024 15:21,Discount Test Device,Till 1,Lekki 1,In,3500.00,10543500.00,0,Approved
27/09/2024 15:16,Discount Test Device,Till 1,Lekki 1,In,3500.00,10540000.00,0,Approved
24/09/2024 11:04,Discount Test Device,Till 1,Lekki 1,In,4000.00,10536500.00,0,Approved
17/09/2024 14:54,Discount Test Device,Till 1,Lekki 1,In,13000.00,10532500.00,0,Approved
17/09/2024 14:53,Discount Test Device,Till 1,Lekki 1,In,2000.00,10519500.00,0,Approved
17/09/2024 14:51,Discount Test Device,Till 1,Lekki 1,In,4000.00,10517500.00,0,Approved
17/09/2024 11:32,Discount Test Device,Till 1,Lekki 1,In,3500.00,10513500.00,0,Approved
15/09/2024 12:36,Touchmate 3g Xplorer,Till 1,Lekki 1,In,5000.00,10510000.00,0,Approved
13/09/2024 10:28,Touchmate 3g Xplorer,Till 1,Lekki 1,In,500.00,10505000.00,0,Approved
12/09/2024 13:10,Touchmate 3g Xplorer,Till 1,Lekki 1,In,15000.00,10504500.00,0,Approved
12/09/2024 10:59,Touchmate 3g Xplorer,Till 1,Lekki 1,In,13500.00,10489500.00,0,Approved
12/09/2024 09:31,Touchmate 3g Xplorer,Till 1,Lekki 1,In,10000.00,10476000.00,0,Approved
12/09/2024 06:24,Hso 78,Till 1,Lekki 1,In,200.00,10466000.00,0,Approved
12/09/2024 05:24,Hso 78,Till 1,Lekki 1,In,10500.00,10465800.00,0,Approved
11/09/2024 15:18,Discount Test Device,Till 1,Lekki 1,In,3500.00,10455300.00,0,Approved
11/09/2024 13:52,Discount Test Device,Till 1,Lekki 1,In,3500.00,10451800.00,0,Approved
11/09/2024 13:47,Discount Test Device,Till 1,Lekki 1,In,3500.00,10448300.00,0,Approved
11/09/2024 12:15,Discount Test Device,Till 1,Lekki 1,In,3500.00,10444800.00,0,Approved
11/09/2024 10:26,Hso 78,Till 1,Lekki 1,In,500.00,10441300.00,0,Approved
11/09/2024 10:20,Hso 78,Till 1,Lekki 1,In,600.00,10440800.00,0,Approved
11/09/2024 09:02,Hso 78,Till 1,Lekki 1,In,800.00,10440200.00,0,Approved
11/09/2024 05:17,Touchmate 3g Xplorer,Till 1,Lekki 1,In,7500.00,10439400.00,0,Approved
10/09/2024 13:22,Discount Test Device,Till 1,Lekki 1,In,600.00,10429000.00,0,Approved
10/09/2024 13:22,Discount Test Device,Till 1,Lekki 1,In,2900.00,10431900.00,0,Approved
10/09/2024 13:21,Discount Test Device,Till 1,Lekki 1,In,600.00,10425500.00,0,Approved
10/09/2024 13:21,Discount Test Device,Till 1,Lekki 1,In,2900.00,10428400.00,0,Approved
10/09/2024 13:14,Discount Test Device,Till 1,Lekki 1,In,3500.00,10424900.00,0,Approved
30/08/2024 05:04,Hso 78,Till 1,Lekki 1,In,200.00,10421400.00,0,Approved
30/08/2024 05:01,Hso 78,Till 1,Lekki 1,In,200.00,10421200.00,0,Approved
31/07/2024 13:06,Discount Test Device,Till 1,Lekki 1,In,12500.00,10421000.00,0,Approved
30/07/2024 15:13,Discount Test Device,Till 1,Lekki 1,In,3500.00,10408500.00,0,Approved
29/07/2024 10:45,Discount Test Device,Till 1,Lekki 1,In,22500.00,10405000.00,0,Approved
29/07/2024 10:45,Discount Test Device,Till 1,Lekki 1,In,8000.00,10382500.00,0,Approved
29/07/2024 10:45,Discount Test Device,Till 1,Lekki 1,In,4500.00,10374500.00,0,Approved
26/07/2024 10:38,Discount Test Device,Till 1,Lekki 1,In,8500.00,10370000.00,0,Approved
26/07/2024 10:33,Discount Test Device,Till 1,Lekki 1,In,4000.00,10361500.00,0,Approved
26/07/2024 08:00,POS Pocket Device,Till 1,Lekki 1,In,42000.00,10357500.00,0,Approved
26/07/2024 08:00,POS Pocket Device,Till 1,Lekki 1,In,42000.00,10315500.00,0,Approved
25/07/2024 15:32,POS Pocket Device,Till 1,Lekki 1,In,42000.00,10273500.00,0,Approved
25/07/2024 14:55,Discount Test Device,Till 1,Lekki 1,In,100.00,10227600.00,0,Approved
25/07/2024 14:55,Discount Test Device,Till 1,Lekki 1,In,3900.00,10231500.00,0,Approved
25/07/2024 14:27,Discount Test Device,Till 1,Lekki 1,In,4000.00,10227500.00,0,Approved
25/07/2024 14:09,Discount Test Device,Till 1,Lekki 1,In,4000.00,10223500.00,0,Approved
25/07/2024 09:03,POS Pocket Device,Till 1,Lekki 1,In,42000.00,10219500.00,0,Approved
25/07/2024 09:02,POS Pocket Device,Till 1,Lekki 1,In,82500.00,10177500.00,0,Approved
24/07/2024 08:39,Discount Test Device,Till 1,Lekki 1,In,165000.00,10095000.00,0,Approved
24/07/2024 08:14,Discount Test Device,Till 1,Lekki 1,In,82500.00,9930000.00,0,Approved
20/07/2024 14:52,Discount Test Device,Till 1,Lekki 1,In,10000.00,9847500.00,0,Approved
20/07/2024 14:52,Discount Test Device,Till 1,Lekki 1,In,139500.00,9837500.00,0,Approved
20/07/2024 14:52,Discount Test Device,Till 1,Lekki 1,In,139500.00,9698000.00,0,Approved
20/07/2024 14:52,Discount Test Device,Till 1,Lekki 1,In,52000.00,9558500.00,0,Approved
20/07/2024 13:52,Discount Test Device,Till 1,Lekki 1,In,10000.00,9506500.00,0,Approved
20/07/2024 13:19,Discount Test Device,Till 1,Lekki 1,In,42000.00,9496500.00,0,Approved
02/07/2024 09:27,Hso 78,Till 1,Lekki 1,In,42000.00,9454500.00,0,Approved
02/07/2024 09:24,Hso 78,Till 1,Lekki 1,In,42000.00,9412500.00,0,Approved
02/07/2024 09:24,Hso 78,Till 1,Lekki 1,In,42000.00,9370500.00,0,Approved
27/06/2024 15:44,Hso 78,Till 1,Lekki 1,In,42000.00,9328500.00,0,Approved
27/06/2024 15:44,Hso 78,Till 1,Lekki 1,In,42000.00,9286500.00,0,Approved
27/06/2024 15:42,Hso 78,Till 1,Lekki 1,In,84000.00,9244500.00,0,Approved
27/06/2024 15:41,Hso 78,Till 1,Lekki 1,In,42000.00,9160500.00,0,Approved
27/06/2024 15:41,Hso 78,Till 1,Lekki 1,In,84000.00,9118500.00,0,Approved
27/06/2024 15:41,Hso 78,Till 1,Lekki 1,In,42000.00,9034500.00,0,Approved
27/06/2024 15:40,Hso 78,Till 1,Lekki 1,In,42000.00,8992500.00,0,Approved
27/06/2024 15:38,Hso 78,Till 1,Lekki 1,In,42000.00,8950500.00,0,Approved
27/06/2024 14:36,Hso 78,Till 1,Lekki 1,In,84000.00,8908500.00,0,Approved
27/06/2024 14:36,Hso 78,Till 1,Lekki 1,In,42000.00,8824500.00,0,Approved
27/06/2024 14:35,Hso 78,Till 1,Lekki 1,In,82500.00,8782500.00,0,Approved
27/06/2024 14:35,Hso 78,Till 1,Lekki 1,In,42000.00,8700000.00,0,Approved
27/06/2024 14:35,Hso 78,Till 1,Lekki 1,In,42000.00,8658000.00,0,Approved
27/06/2024 14:34,Hso 78,Till 1,Lekki 1,In,42000.00,8616000.00,0,Approved
14/11/2023 11:27,,Till 1,Lekki 1,In,1000.00,8574000.00,0,Approved
03/07/2023 20:44,Discount Test Device,Till 1,Lekki 1,In,810000.00,8573000.00,0,Approved
09/06/2023 10:56,Discount Test Device,Till 1,Lekki 1,In,342000.00,7763000.00,0,Approved
09/06/2023 09:55,Discount Test Device,Till 1,Lekki 1,In,126000.00,7421000.00,0,Approved
09/06/2023 09:47,Discount Test Device,Till 1,Lekki 1,In,42000.00,7295000.00,0,Approved
09/06/2023 09:46,Discount Test Device,Till 1,Lekki 1,In,42000.00,7253000.00,0,Approved
09/06/2023 09:45,Discount Test Device,Till 1,Lekki 1,In,42000.00,7211000.00,0,Approved
09/06/2023 09:43,Discount Test Device,Till 1,Lekki 1,In,84000.00,7169000.00,0,Approved
09/06/2023 09:43,Discount Test Device,Till 1,Lekki 1,In,42000.00,7085000.00,0,Approved
09/06/2023 09:42,Discount Test Device,Till 1,Lekki 1,In,42000.00,7043000.00,0,Approved
09/06/2023 09:40,Discount Test Device,Till 1,Lekki 1,In,42000.00,7001000.00,0,Approved
09/06/2023 09:39,Discount Test Device,Till 1,Lekki 1,In,42000.00,6959000.00,0,Approved
09/06/2023 09:39,Discount Test Device,Till 1,Lekki 1,In,42000.00,6917000.00,0,Approved
09/06/2023 08:41,Discount Test Device,Till 1,Lekki 1,In,84000.00,6875000.00,0,Approved
09/06/2023 08:40,Discount Test Device,Till 1,Lekki 1,In,42000.00,6791000.00,0,Approved
09/06/2023 08:38,Discount Test Device,Till 1,Lekki 1,In,42000.00,6749000.00,0,Approved
09/06/2023 08:38,Discount Test Device,Till 1,Lekki 1,In,126000.00,6707000.00,0,Approved
09/06/2023 08:33,Discount Test Device,Till 1,Lekki 1,In,42000.00,6581000.00,0,Approved
09/06/2023 08:31,Discount Test Device,Till 1,Lekki 1,In,42000.00,6539000.00,0,Approved
09/06/2023 08:30,Discount Test Device,Till 1,Lekki 1,In,42000.00,6497000.00,0,Approved
09/06/2023 08:29,Discount Test Device,Till 1,Lekki 1,In,126000.00,6455000.00,0,Approved
09/06/2023 08:25,Discount Test Device,Till 1,Lekki 1,In,42000.00,6329000.00,0,Approved
09/06/2023 08:21,Discount Test Device,Till 1,Lekki 1,In,84000.00,6287000.00,0,Approved
09/06/2023 08:19,Discount Test Device,Till 1,Lekki 1,In,135000.00,6203000.00,0,Approved
06/06/2023 12:42,Discount Test Device,Till 1,Lekki 1,In,135000.00,6068000.00,0,Approved
06/06/2023 07:34,Discount Test Device,Till 1,Lekki 1,In,42000.00,5933000.00,0,Approved
06/06/2023 07:30,Discount Test Device,Till 1,Lekki 1,In,217500.00,5891000.00,0,Approved
07/04/2023 15:04,Discount Test Device,Till 1,Lekki 1,In,82500.00,5673500.00,0,Approved
22/03/2023 10:48,Discount Test Device,Till 1,Lekki 1,In,135000.00,5591000.00,0,Approved
14/03/2023 11:49,Discount Test Device,Till 1,Lekki 1,In,135000.00,5456000.00,0,Approved
14/03/2023 11:38,Discount Test Device,Till 1,Lekki 1,In,217500.00,5321000.00,0,Approved
14/03/2023 10:50,Discount Test Device,Till 1,Lekki 1,In,100000.00,5103500.00,0,Approved
14/03/2023 10:48,Discount Test Device,Till 1,Lekki 1,In,135000.00,5003500.00,0,Approved
14/03/2023 10:26,Discount Test Device,Till 1,Lekki 1,In,82500.00,4868500.00,0,Approved
07/03/2023 11:11,Discount Test Device,Till 1,Lekki 1,In,664500.00,4786000.00,0,Approved
06/03/2023 11:37,Discount Test Device,Till 1,Lekki 1,In,20000.00,4121500.00,0,Approved
14/02/2023 14:26,Discount Test Device,Till 1,Lekki 1,In,394500.00,4101500.00,0,Approved
11/02/2023 14:22,Discount Test Device,Till 1,Lekki 1,In,42000.00,3707000.00,0,Approved
11/02/2023 14:22,Discount Test Device,Till 1,Lekki 1,In,208500.00,3665000.00,0,Approved
11/02/2023 14:22,Discount Test Device,Till 1,Lekki 1,In,135000.00,3456500.00,0,Approved
11/02/2023 14:22,Discount Test Device,Till 1,Lekki 1,In,82500.00,3321500.00,0,Approved
11/02/2023 14:22,Discount Test Device,Till 1,Lekki 1,In,42000.00,3239000.00,0,Approved
11/02/2023 14:12,Discount Test Device,Till 1,Lekki 1,In,82500.00,3197000.00,0,Approved
11/02/2023 14:12,Discount Test Device,Till 1,Lekki 1,In,126000.00,3114500.00,0,Approved
11/02/2023 14:10,Discount Test Device,Till 1,Lekki 1,In,84000.00,2988500.00,0,Approved
11/02/2023 14:06,Discount Test Device,Till 1,Lekki 1,In,207000.00,2904500.00,0,Approved
11/02/2023 14:05,Discount Test Device,Till 1,Lekki 1,In,84000.00,2697500.00,0,Approved
11/02/2023 14:05,Discount Test Device,Till 1,Lekki 1,In,42000.00,2613500.00,0,Approved
11/02/2023 13:58,Discount Test Device,Till 1,Lekki 1,In,126000.00,2571500.00,0,Approved
11/02/2023 13:58,Discount Test Device,Till 1,Lekki 1,In,82500.00,2445500.00,0,Approved
11/02/2023 13:58,Discount Test Device,Till 1,Lekki 1,In,84000.00,2363000.00,0,Approved
11/02/2023 13:57,Discount Test Device,Till 1,Lekki 1,In,135000.00,2279000.00,0,Approved
10/02/2023 17:12,Discount Test Device,Till 1,Lekki 1,In,84000.00,2144000.00,0,Approved
10/02/2023 16:00,Discount Test Device,Till 1,Lekki 1,In,100.00,2060000.00,0,Approved
10/02/2023 15:59,Discount Test Device,Till 1,Lekki 1,In,1500.00,2059900.00,0,Approved
